Year,GDP-US $ billion nominal,Population-US million,Income Taxes-fed $ billion nominal,,Social Insurance Taxes-fed $ billion nominal,,Ad valorem Taxes-fed $ billion nominal,,Fees and Charges-fed $ billion nominal,,Business and Other Revenue-fed $ billion nominal,,Balance-fed $ billion nominal,,Total Direct Revenue-fed $ billion nominal,,Federal Deficit-fed $ billion nominal,
1950,300.2,151.326,26.2,a,4.34,a,8.71,a,0,,0.19,a,5.36,,39.44,a,5.36,a
1951,347.3,153.917,35.72,a,5.67,a,10.04,a,0,,0.19,a,-2.68,,51.62,a,-2.68,a
1952,367.7,156.552,49.16,a,6.45,a,10.28,a,0,,0.28,a,5.4,,66.17,a,5.4,a
1953,389.7,159.232,51.05,a,6.82,a,11.43,a,0,,0.3,a,10.38,,69.61,a,10.38,a
1954,391.1,161.958,50.64,a,7.21,a,11.51,a,0,,0.34,a,7.99,,69.7,a,7.99,a
1955,426.2,164.731,46.61,a,7.86,a,10.73,a,0,,0.25,a,7.99,,65.45,a,7.99,a
1956,450.1,167.551,53.07,a,9.32,a,11.91,a,0,,0.29,a,1.4,,74.59,a,1.4,a
1957,474.9,170.42,56.79,a,10,a,12.77,a,0,,0.43,a,1.79,,79.99,a,1.79,a
1958,482,173.337,54.8,a,11.24,a,12.94,a,0,,0.66,a,6.42,,79.64,a,6.42,a
1959,522.5,176.305,54.03,a,11.72,a,13.01,a,0,,0.49,a,14.28,,79.25,a,14.28,a
1960,543.3,179.323,62.21,a,14.68,a,14.51,a,0,,1.09,a,4.79,,92.49,a,4.79,a
1961,563.3,181.588,62.29,a,16.44,a,14.87,a,0,,0.79,a,10.48,,94.39,a,10.48,a
1962,605.1,183.881,66.09,a,17.05,a,15.82,a,0,,0.72,a,7.15,,99.68,a,7.15,a
1963,638.6,186.204,69.17,a,19.81,a,16.76,a,0,,0.83,a,4.76,,106.56,a,4.76,a
1964,685.8,188.555,72.19,a,21.96,a,17.52,a,0,,0.95,a,5.92,,112.61,a,5.92,a
1965,743.7,190.937,74.25,a,22.24,a,18.95,a,0,,1.37,a,1.41,,116.82,a,1.41,a
1966,815,193.348,85.52,a,25.55,a,18.06,a,0,,1.71,a,3.7,,130.84,a,3.7,a
1967,861.7,195.79,95.5,a,32.62,a,18.9,a,0,,1.81,a,8.64,,148.82,a,8.64,a
1968,942.5,198.263,97.39,a,33.92,a,19.57,a,0,,2.09,a,25.16,,152.97,a,25.16,a
1969,1019.9,200.766,123.93,a,39.02,a,21.28,a,0,,2.66,a,-3.24,,186.88,a,-3.24,a
1970,1075.9,203.302,123.24,a,44.36,a,21.94,a,0,,3.27,a,2.84,,192.81,a,2.84,a
1971,1167.8,205.515,113.02,a,47.32,a,23.27,a,0,,3.53,a,23.03,,187.14,a,23.03,a
1972,1282.4,207.752,126.9,a,52.57,a,24.58,a,0,,3.25,a,23.37,,207.31,a,23.37,a
1973,1428.5,210.013,139.4,a,63.11,a,24.79,a,0,,3.5,a,14.91,,230.8,a,14.91,a
1974,1548.8,212.299,157.57,a,75.07,a,25.74,a,0,,4.85,a,6.13,,263.22,a,6.13,a
1975,1688.9,214.609,163.01,a,84.53,a,25.77,a,0,,5.78,a,53.24,,279.09,a,53.24,a
1976,1877.6,216.945,173.01,a,90.77,a,28.83,a,0,,5.45,a,73.73,,298.06,a,73.73,a
1977,2086,219.307,212.52,a,106.49,a,30.65,a,0,,5.91,a,53.66,,355.56,a,53.66,a
1978,2356.6,221.694,240.94,a,120.97,a,31.01,a,0,,6.64,a,59.19,,399.56,a,59.19,a
1979,2632.1,224.107,283.52,a,138.94,a,32.52,a,0,,8.33,a,40.73,,463.3,a,40.73,a
1980,2862.5,226.546,308.67,a,157.8,a,38.87,a,0,,11.77,a,73.83,,517.11,a,73.83,a
1981,3211,228.67,347.05,a,182.72,a,56.67,a,0,,12.83,a,78.97,,599.27,a,78.97,a
1982,3345,230.815,346.95,a,201.5,a,54.13,a,0,,15.19,a,127.98,,617.77,a,127.98,a
1983,3638.1,232.979,325.96,a,208.99,a,51.12,a,0,,14.49,a,207.8,,600.56,a,207.8,a
1984,4040.7,235.164,355.31,a,239.38,a,56.07,a,0,,15.68,a,185.37,,666.44,a,185.37,a
1985,4346.7,237.369,395.86,a,265.16,a,55.95,a,0,,17.06,a,212.31,,734.04,a,212.31,a
1986,4590.2,239.595,412.1,a,283.9,a,54.78,a,0,,18.37,a,221.23,,769.16,a,221.23,a
1987,4870.2,241.842,476.48,a,303.32,a,57.67,a,0,,16.82,a,149.73,,854.29,a,149.73,a
1988,5252.6,244.11,495.69,a,334.34,a,62.05,a,0,,17.16,a,155.18,,909.24,a,155.18,a
1989,5657.7,246.399,548.98,a,359.42,a,63.1,a,0,,19.6,a,152.64,,991.1,a,152.64,a
1990,5979.6,248.71,560.39,a,380.05,a,67.2,a,0,,24.32,a,221.03,,1031.96,a,221.03,a
1991,6174,251.802,565.91,a,396.02,a,73.9,a,0,,19.16,a,269.24,,1054.99,a,269.24,a
1992,6539.3,254.933,576.23,a,413.69,a,78.36,a,0,,22.92,a,290.32,,1091.21,a,290.32,a
1993,6878.7,258.103,627.2,a,428.3,a,83.93,a,0,,14.91,a,255.06,,1154.33,a,255.06,a
1994,7308.8,261.312,683.44,a,461.48,a,95.63,a,0,,18.02,a,203.18,,1258.57,a,203.18,a
1995,7664.1,264.561,747.25,a,484.47,a,96.69,a,0,,23.38,a,163.95,,1351.79,a,163.95,a
1996,8100.2,267.85,828.24,a,509.41,a,94.92,a,0,,20.48,a,107.43,,1453.05,a,107.43,a
1997,8608.5,271.18,919.76,a,539.37,a,100.47,a,0,,19.64,a,21.89,,1579.23,a,21.89,a
1998,9089.2,274.552,1017.26,a,571.83,a,108.09,a,0,,24.54,a,-69.27,,1721.73,a,-69.27,a
1999,9660.6,277.966,1064.16,a,611.83,a,125.54,a,0,,25.92,a,-125.61,,1827.45,a,-125.61,a
2000,10284.8,281.422,1211.75,a,652.85,a,128.3,a,0,,32.29,a,-236.24,,2025.19,a,-236.24,a
2001,10621.8,284.184,1145.41,a,693.97,a,125.58,a,0,,26.12,a,-128.23,,1991.08,a,-128.23,a
2002,10977.5,286.974,1006.39,a,700.76,a,122.3,a,0,,23.68,a,157.75,,1853.14,a,157.75,a
2003,11510.7,289.79,925.48,a,712.98,a,121.98,a,0,,21.88,a,377.59,,1782.31,a,377.59,a
2004,12274.9,292.635,998.33,a,733.41,a,128.73,a,0,,19.65,a,412.73,,1880.11,a,412.73,a
2005,13093.7,295.507,1205.5,a,794.13,a,134.69,a,0,,19.3,a,318.35,,2153.61,a,318.35,a
2006,13855.9,298.145,1397.83,a,837.82,a,141.28,a,0,,29.95,a,248.18,,2406.87,a,248.18,a
2007,14477.6,300.807,1533.71,a,869.61,a,132.62,a,0,,32.04,a,160.71,,2567.98,a,160.71,a
2008,14718.6,303.492,1450.1,a,900.16,a,140.15,a,0,,33.6,a,458.55,,2523.99,a,458.55,a
2009,14418.7,306.202,1053.54,a,890.92,a,126.22,a,0,,34.32,a,1412.69,,2104.99,a,1412.69,a
2010,14964.4,309.338,1089.99,a,864.81,a,132.06,a,0,,75.85,a,1294.37,,2162.71,a,1294.37,a
2011,15517.9,311.644,1272.56,a,818.79,a,129.57,a,0,,82.55,a,1299.59,,2303.47,a,1299.59,a
2012,16155.3,313.993,1374.5,a,845.31,a,148.22,a,0,,81.96,a,1086.95,,2449.99,a,1086.95,a
2013,16691.5,316.234,1589.91,a,947.82,a,161.61,a,0,,75.77,a,679.54,,2775.11,a,679.54,a
2014,17427.6,318.623,1715.3,a,1023.46,a,183.5,a,0,,99.24,a,484.6,,3021.49,a,484.6,a
2015,18120.7,321.04,1884.6,a,1065.26,a,203.56,a,0,,96.47,a,438.49,,3249.89,a,438.49,a
2016,18624.5,323.406,1845.65,a,1115.07,a,191.58,a,0,,115.67,a,584.65,,3267.96,a,584.65,a
2017,19386.2,325.719,1884.17,a,1161.9,a,188.83,a,0,,81.29,a,665.37,,3316.18,a,665.37,a
2018,20029.3,328.049,1888.27,a,1169.7,b,212.22,b,0,,70.75,a,779,,3328.74,a,779,a
2019,21003.1,330.395,1913.09,b,1237.63,b,219.77,b,0,,55.26,b,984.4,,3422.3,b,984.4,b
2020,22068.8,332.759,2055.38,b,1288.51,b,224.39,b,0,,49.27,b,986.95,,3608.93,b,986.95,b
2021,23193.7,335.139,2191.43,b,1362.84,b,233.53,b,0,,52.89,b,915.92,,3838.2,b,915.92,b
2022,24368.8,337.536,2367.15,b,1438.96,b,225.69,b,0,,59.72,b,907.78,,4088.68,b,907.78,b
2023,25605.2,339.95,2575.48,b,1513.74,b,231.82,b,0,,67.96,b,778.49,,4386.11,b,778.49,b
