DATE,M318501A027NBEA
1952-01-01,0.049
1953-01-01,-5.274
1954-01-01,-0.232
1955-01-01,-2.701
1956-01-01,4.541
1957-01-01,2.099
1958-01-01,-1.58
1959-01-01,-13.092
1960-01-01,0.749
1961-01-01,-2.3
1962-01-01,-5.797
1963-01-01,-4.012
1964-01-01,-4.802
1965-01-01,-2.696
1966-01-01,-3.337
1967-01-01,-1.546
1968-01-01,-25.162
1969-01-01,3.244
1970-01-01,-2.845
1971-01-01,-23.033
1972-01-01,-23.227
1973-01-01,-14.301
1974-01-01,-3.46
1975-01-01,-43.604
1976-01-01,-65.605
1977-01-01,-45.035
1978-01-01,-48.762
1979-01-01,-27.281
1980-01-01,-58.961
1981-01-01,-57.934
1982-01-01,-110.654
1983-01-01,-195.373
1984-01-01,-178.224
1985-01-01,-203.155
1986-01-01,-221.099
1987-01-01,-148.424
1988-01-01,-154.261
1989-01-01,-153.317
1990-01-01,-220.466
1991-01-01,-269.494
1992-01-01,-290.34
1993-01-01,-254.614
1994-01-01,-203.182
1995-01-01,-163.95
1996-01-01,-107.433
1997-01-01,-21.888
1998-01-01,69.269
1999-01-01,125.61
2000-01-01,236.239
2001-01-01,128.236
2002-01-01,-157.758
2003-01-01,-377.585
2004-01-01,-412.727
2005-01-01,-318.344
2006-01-01,-248.181
2007-01-01,-160.701
2008-01-01,-458.468
2009-01-01,-1412.687
2010-01-01,-1294.373
2011-01-01,-1299.593
2012-01-01,-1086.964
2013-01-01,-679.54
2014-01-01,-484.6
2015-01-01,-438.496
2016-01-01,-584.651
